Time,Open,High,Low,Close,Volume
2024-11-22 19:00:00-05:00,6.636,7.199,6.59,7.089,9437748.0
2024-11-22 15:00:00-05:00,6.362,6.694,6.313,6.636,3722507.9
2024-11-22 11:00:00-05:00,6.363,6.424,6.237,6.362,4336453.6
2024-11-22 07:00:00-05:00,6.182,6.372,5.961,6.363,5267591.3
2024-11-22 03:00:00-05:00,6.092,6.196,6.006,6.182,2740766.0
2024-11-21 23:00:00-05:00,6.165,6.282,6.082,6.092,2265866.7
2024-11-21 19:00:00-05:00,5.939,6.257,5.883,6.165,4915238.1
2024-11-21 15:00:00-05:00,5.836,5.955,5.814,5.939,1250684.8
2024-11-21 11:00:00-05:00,5.778,5.909,5.764,5.836,2310868.0
2024-11-21 07:00:00-05:00,5.726,5.972,5.712,5.778,4929584.3
2024-11-21 03:00:00-05:00,5.707,5.755,5.562,5.726,2152385.5
2024-11-20 23:00:00-05:00,5.552,5.766,5.545,5.707,2771961.5
2024-11-20 19:00:00-05:00,5.723,5.8,5.476,5.552,3860855.7
2024-11-20 15:00:00-05:00,5.602,5.829,5.581,5.723,2639604.6
2024-11-20 11:00:00-05:00,5.929,5.956,5.535,5.602,4284466.4
2024-11-20 07:00:00-05:00,6.066,6.085,5.855,5.929,4196152.5
2024-11-20 03:00:00-05:00,5.817,6.078,5.809,6.066,5262491.1
2024-11-19 23:00:00-05:00,5.748,5.892,5.678,5.817,1575115.8
2024-11-19 19:00:00-05:00,5.81,5.887,5.65,5.748,2524403.2
2024-11-19 15:00:00-05:00,5.832,5.859,5.663,5.81,2374325.8
2024-11-19 11:00:00-05:00,5.841,5.903,5.776,5.832,1596471.4
2024-11-19 07:00:00-05:00,5.889,6.04,5.768,5.841,2803039.3
2024-11-19 03:00:00-05:00,5.832,5.889,5.741,5.889,1238724.4
2024-11-18 23:00:00-05:00,6.034,6.053,5.83,5.832,1700800.8
2024-11-18 19:00:00-05:00,6.013,6.053,5.894,6.034,2017585.6
2024-11-18 15:00:00-05:00,5.835,6.1,5.772,6.013,3137038.3
2024-11-18 11:00:00-05:00,5.849,6.002,5.709,5.835,3555842.2
2024-11-18 07:00:00-05:00,5.739,5.89,5.636,5.849,3212402.1
2024-11-18 03:00:00-05:00,5.913,5.958,5.704,5.739,2826233.6
2024-11-17 23:00:00-05:00,5.767,5.988,5.738,5.913,3382615.8
2024-11-17 19:00:00-05:00,5.427,5.807,5.398,5.767,4085538.4
2024-11-17 15:00:00-05:00,5.441,5.47,5.313,5.427,1955013.6
2024-11-17 11:00:00-05:00,5.548,5.607,5.405,5.441,2352353.7
2024-11-17 07:00:00-05:00,5.485,5.6,5.474,5.548,1660512.1
2024-11-17 03:00:00-05:00,5.675,5.704,5.476,5.485,2310020.7
2024-11-16 23:00:00-05:00,5.732,5.755,5.584,5.675,2485846.5
2024-11-16 19:00:00-05:00,5.787,6.151,5.517,5.732,8853244.0
2024-11-16 15:00:00-05:00,5.715,5.808,5.656,5.787,3649406.6
2024-11-16 11:00:00-05:00,5.465,5.796,5.423,5.715,4430228.4
2024-11-16 07:00:00-05:00,5.497,5.574,5.366,5.465,4249564.0
2024-11-16 03:00:00-05:00,5.248,5.503,5.227,5.497,3747967.5
2024-11-15 23:00:00-05:00,5.271,5.324,5.211,5.248,2006722.9
2024-11-15 19:00:00-05:00,5.167,5.274,5.137,5.271,1466160.3
2024-11-15 15:00:00-05:00,5.053,5.177,5.049,5.167,2291658.1
2024-11-15 11:00:00-05:00,4.923,5.079,4.892,5.053,2441274.8
2024-11-15 07:00:00-05:00,4.97,5.06,4.86,4.923,4755682.8
2024-11-15 03:00:00-05:00,4.862,4.978,4.813,4.97,2903056.5
2024-11-14 23:00:00-05:00,4.849,4.9,4.707,4.862,1654657.4
2024-11-14 19:00:00-05:00,4.778,4.861,4.725,4.849,1957490.9
2024-11-14 15:00:00-05:00,4.926,4.939,4.683,4.778,3672547.1
2024-11-14 11:00:00-05:00,4.83,4.937,4.802,4.926,2193607.0
2024-11-14 07:00:00-05:00,5.008,5.024,4.774,4.83,5177379.3
2024-11-14 03:00:00-05:00,5.127,5.157,4.916,5.008,2578171.1
2024-11-13 23:00:00-05:00,5.08,5.22,5.043,5.127,2162093.6
2024-11-13 19:00:00-05:00,5.077,5.099,4.986,5.08,1792574.6
2024-11-13 15:00:00-05:00,5.058,5.129,4.956,5.077,3286725.3
2024-11-13 11:00:00-05:00,5.379,5.413,5.031,5.058,5527163.6
2024-11-13 07:00:00-05:00,5.071,5.435,5.01,5.379,6605137.5
2024-11-13 03:00:00-05:00,5.087,5.119,4.978,5.071,1643830.0
2024-11-12 23:00:00-05:00,5.085,5.17,4.912,5.087,3829004.4
2024-11-12 19:00:00-05:00,5.313,5.38,5.082,5.085,3461546.7
2024-11-12 15:00:00-05:00,5.361,5.436,5.283,5.313,1936231.0
2024-11-12 11:00:00-05:00,5.292,5.434,5.207,5.361,3210017.5
2024-11-12 07:00:00-05:00,5.375,5.468,5.126,5.292,6046352.3
2024-11-12 03:00:00-05:00,5.585,5.852,5.172,5.375,11656414.5
2024-11-11 23:00:00-05:00,5.577,5.603,5.414,5.585,2932006.2
2024-11-11 19:00:00-05:00,5.715,5.733,5.44,5.577,5331132.8
2024-11-11 15:00:00-05:00,5.247,5.79,5.23,5.715,6048200.0
2024-11-11 11:00:00-05:00,5.201,5.31,5.141,5.247,4544744.6
2024-11-11 07:00:00-05:00,5.17,5.276,5.048,5.201,4069258.7
2024-11-11 03:00:00-05:00,5.082,5.175,5.033,5.17,1852653.5
2024-11-10 23:00:00-05:00,5.258,5.273,4.978,5.082,3213226.5
2024-11-10 19:00:00-05:00,5.244,5.384,5.197,5.258,3165571.7
2024-11-10 15:00:00-05:00,5.32,5.339,4.977,5.244,5611147.0
2024-11-10 11:00:00-05:00,5.246,5.481,5.209,5.32,7311145.0
2024-11-10 07:00:00-05:00,5.163,5.453,5.084,5.246,11431960.2
2024-11-10 03:00:00-05:00,4.927,5.185,4.927,5.163,5968114.0
2024-11-09 23:00:00-05:00,4.838,5.177,4.8,4.927,6971806.4
2024-11-09 19:00:00-05:00,4.634,4.861,4.587,4.838,3625126.7
2024-11-09 15:00:00-05:00,4.398,4.645,4.397,4.634,2589062.9
2024-11-09 11:00:00-05:00,4.374,4.434,4.315,4.398,1962964.2
2024-11-09 07:00:00-05:00,4.39,4.398,4.315,4.374,1608954.7
2024-11-09 03:00:00-05:00,4.369,4.399,4.338,4.39,1113989.4
2024-11-08 23:00:00-05:00,4.269,4.393,4.266,4.369,1505601.2
2024-11-08 19:00:00-05:00,4.325,4.347,4.263,4.269,1153620.5
2024-11-08 15:00:00-05:00,4.333,4.346,4.262,4.325,1589015.3
2024-11-08 11:00:00-05:00,4.342,4.393,4.24,4.333,3748524.5
2024-11-08 07:00:00-05:00,4.29,4.386,4.271,4.342,4221414.4
2024-11-08 03:00:00-05:00,4.324,4.334,4.254,4.29,3213899.2
2024-11-07 23:00:00-05:00,4.148,4.392,4.144,4.324,3449746.1
2024-11-07 19:00:00-05:00,4.166,4.219,4.113,4.148,1302643.4
2024-11-07 15:00:00-05:00,4.138,4.178,4.121,4.166,1013486.3
2024-11-07 11:00:00-05:00,4.15,4.169,4.082,4.138,4104448.0
2024-11-07 07:00:00-05:00,4.062,4.151,4.043,4.15,2058891.0
2024-11-07 03:00:00-05:00,4.086,4.122,4.046,4.062,1360614.0
2024-11-06 23:00:00-05:00,4.169,4.175,4.059,4.086,1260516.6
2024-11-06 19:00:00-05:00,4.112,4.2,4.095,4.169,2080097.2
2024-11-06 15:00:00-05:00,4.085,4.131,4.053,4.112,1508861.0
2024-11-06 11:00:00-05:00,4.046,4.095,4.023,4.085,1671254.8
2024-11-06 07:00:00-05:00,4.089,4.104,4.026,4.046,2164320.0
2024-11-06 03:00:00-05:00,4.067,4.101,4.005,4.089,1377189.5
2024-11-05 23:00:00-05:00,4.078,4.129,4.015,4.067,2540971.1
2024-11-05 19:00:00-05:00,3.855,4.087,3.855,4.078,2858608.7
2024-11-05 15:00:00-05:00,3.836,3.899,3.825,3.855,808171.7
2024-11-05 11:00:00-05:00,3.866,3.915,3.823,3.836,1162968.1
2024-11-05 07:00:00-05:00,3.837,3.918,3.828,3.866,1278523.0
2024-11-05 03:00:00-05:00,3.829,3.859,3.822,3.837,597776.4
2024-11-04 23:00:00-05:00,3.796,3.834,3.788,3.829,501299.8
2024-11-04 19:00:00-05:00,3.748,3.804,3.743,3.796,615599.9
2024-11-04 15:00:00-05:00,3.78,3.79,3.675,3.748,2206341.2
2024-11-04 11:00:00-05:00,3.795,3.801,3.745,3.78,983271.7
2024-11-04 07:00:00-05:00,3.797,3.825,3.765,3.795,888547.3
2024-11-04 03:00:00-05:00,3.772,3.808,3.742,3.797,828582.0
2024-11-03 23:00:00-05:00,3.802,3.818,3.768,3.772,431347.5
2024-11-03 19:00:00-05:00,3.782,3.835,3.745,3.802,711192.7
2024-11-03 15:00:00-05:00,3.78,3.82,3.768,3.782,830750.6
2024-11-03 11:00:00-05:00,3.732,3.786,3.709,3.78,1404276.3
